mr-backend-core listening on 0.0.0.0:3001
2026-07-19T19:10:10.748Z GET /api/health 127.0.0.1
2026-07-19T19:10:10.773Z GET /api/agents 127.0.0.1
2026-07-19T19:10:10.777Z GET /api/battles 127.0.0.1
2026-07-19T19:10:10.784Z GET /api/chat 127.0.0.1
2026-07-19T19:10:10.802Z GET /api/fleet 127.0.0.1
2026-07-19T19:10:11.571Z GET /api/hn 127.0.0.1
2026-07-19T19:10:11.576Z GET /api/leaderboard 127.0.0.1
2026-07-19T19:10:11.580Z GET /api/memory 127.0.0.1
2026-07-19T19:10:11.584Z GET /api/models 127.0.0.1
2026-07-19T19:10:23.731Z POST /api/chat 127.0.0.1
